goos: darwin
goarch: arm64
pkg: github.com/timescale/promscale/pkg/clockcache
BenchmarkInsertConcurrent/500-10            	 3300582	       348.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3481390	       350.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3488592	       350.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3313141	       365.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3240895	       360.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3546496	       348.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3482510	       361.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3321922	       360.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3298327	       362.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3484380	       356.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3320833	       370.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/5000-10           	 3701785	       323.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/5000-10           	 3798295	       325.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/5000-10           	 3770056	       317.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/5000-10           	 3724155	       335.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/5000-10           	 3780136	       320.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/5000-10           	 3721471	       322.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/5000-10           	 3731218	       315.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/5000-10           	 3591540	       323.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/5000-10           	 3802155	       326.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/5000-10           	 3633997	       327.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/5000-10           	 3651396	       320.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/5000-10           	 3812486	       323.0 ns/op	       0 B/op	       0 allocs/op
