goos: darwin
goarch: arm64
pkg: github.com/timescale/promscale/pkg/clockcache
BenchmarkInsertOverCapacity/500-10          	 5902388	       204.0 ns/op	   5902388 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5900137	       202.9 ns/op	   5900137 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5879252	       206.1 ns/op	   5879252 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5934073	       204.8 ns/op	   5934073 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5895153	       205.2 ns/op	   5895153 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5889554	       207.1 ns/op	   5889554 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5855649	       206.3 ns/op	   5855649 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5876274	       203.5 ns/op	   5876274 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5906556	       204.4 ns/op	   5906556 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5876821	       205.2 ns/op	   5876821 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5854432	       205.2 ns/op	   5854432 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5839942	       204.3 ns/op	   5839942 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5861637	       206.7 ns/op	   5861637 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5863593	       202.5 ns/op	   5863593 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5915928	       204.6 ns/op	   5915928 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5871916	       202.6 ns/op	   5871916 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6507198	       182.6 ns/op	   6507198 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6508765	       186.0 ns/op	   6508765 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6460714	       184.5 ns/op	   6460714 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6431600	       184.9 ns/op	   6431600 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6496083	       184.7 ns/op	   6496083 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6472843	       183.9 ns/op	   6472843 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6418440	       183.8 ns/op	   6418440 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6499982	       184.3 ns/op	   6499982 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6496422	       183.1 ns/op	   6496422 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
